기온분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 부산
기간 : 20170101~20200414

날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2018-11-02,159,13.3,8.2,19.6
2018-11-03,159,13.9,9.2,20.7
2018-11-04,159,15.3,11,22.5
2018-11-05,159,15.1,10.4,21.3
2018-11-06,159,16.4,12.2,22
2018-11-07,159,16.9,14.7,20.1
2018-11-08,159,16.8,15.2,18.8
2018-11-09,159,14.3,11.8,17.9
2018-11-10,159,14.2,10.6,19.6
2018-11-11,159,14.4,10.2,20.6
2018-11-12,159,12.6,11,15.2
2018-11-13,159,12.8,10.3,18.4
2018-11-14,159,12.7,9,19.1
2018-11-15,159,13.3,8.9,18.8
2018-11-16,159,12.7,10.5,16.5
2018-11-17,159,12.4,9.7,18.1
2018-11-18,159,10.3,9.1,12.9
2018-11-19,159,11.1,7.6,17.2
2018-11-20,159,10.2,6.6,15.3
2018-11-21,159,10.9,7.9,13.5
2018-11-22,159,7.5,4.2,12.3
2018-11-23,159,6.1,2.7,11.9
2018-11-24,159,7.7,3.2,12.5
2018-11-25,159,9.7,6.2,14.8
2018-11-26,159,11.1,5.8,16.8
2018-11-27,159,14,10.6,19.9
2018-11-28,159,11.6,7.9,17.8
2018-11-29,159,10.4,6,15.9
2018-11-30,159,11.4,7.4,16.4
2018-12-01,159,10.4,7.8,14.2
2018-12-02,159,14.1,9.5,18.8
2018-12-03,159,16.8,14.5,18.8
2018-12-04,159,14.6,10.3,16.8
2018-12-05,159,9.7,4.8,14.9
2018-12-06,159,7.3,5.1,9.8
2018-12-07,159,0.5,-3.2,5.2
2018-12-08,159,-1.9,-5.4,3
2018-12-09,159,-0.5,-4.1,4.9
2018-12-10,159,4,-2.4,10.7
2018-12-11,159,5.8,3,8.3
2018-12-12,159,2.9,0.5,7.2
2018-12-13,159,3.2,-1.5,8.1
2018-12-14,159,1.2,-2.2,6.2
2018-12-15,159,4,-1.5,10.4
2018-12-16,159,4.7,3.3,8.7
2018-12-17,159,5.9,3.1,9.4
2018-12-18,159,5.6,1.8,9.7
2018-12-19,159,9.6,5.2,13.7
2018-12-20,159,10.3,8.3,12.2
2018-12-21,159,11.9,8,17.2
2018-12-22,159,12.5,9.4,17.6
2018-12-23,159,8.8,3.9,13.3
2018-12-24,159,3.9,0.9,8.2
2018-12-25,159,5,0.2,9.9
2018-12-26,159,6.9,3.8,11
2018-12-27,159,0.5,-4.7,4.9
2018-12-28,159,-3.5,-7.1,1.2
2018-12-29,159,-2.2,-5.5,2.1
2018-12-30,159,-0.7,-5.2,5.6
2018-12-31,159,3.9,-0.1,10.6
2019-01-01,159,1,-1.9,5.5
2019-01-02,159,1.2,-2.5,6.4
2019-01-03,159,3,-1.7,8.4
2019-01-04,159,5,1.4,8.2
2019-01-05,159,5.5,2.2,10.7
2019-01-06,159,4.4,1.3,10.7
2019-01-07,159,4.4,0.7,9.5
2019-01-08,159,3.2,-0.7,8.2
2019-01-09,159,2.3,-2.6,7.6
2019-01-10,159,4.8,2.5,9
2019-01-11,159,6.2,0.4,12.2
2019-01-12,159,6.2,4.7,8.3
2019-01-13,159,6.8,3.2,12.5
2019-01-14,159,7.3,2.4,13.5
2019-01-15,159,5.6,1.4,10.4
2019-01-16,159,0,-4.4,5.6
2019-01-17,159,2.4,-2,7.6
2019-01-18,159,5.5,1.1,10.8
2019-01-19,159,7.5,4.2,12.2
2019-01-20,159,5.5,0.5,10.6
2019-01-21,159,2.8,-2.3,7.9
2019-01-22,159,5.5,0.9,10.6
2019-01-23,159,6.5,2.1,10.7
2019-01-24,159,5.7,1.5,11.6
2019-01-25,159,4.2,-0.1,7.9
2019-01-26,159,1,-2.6,6.3
2019-01-27,159,3.9,-0.7,9
2019-01-28,159,5.3,2,10.9
2019-01-29,159,5.2,-0.6,11.4
2019-01-30,159,8.6,5.4,13.7
2019-01-31,159,2.2,-1.5,8.9
2019-02-01,159,0.4,-4.2,5.5
2019-02-02,159,4.2,-1.3,8.3
2019-02-03,159,11.6,7.4,14.9
2019-02-04,159,6.8,3.4,10.5
2019-02-05,159,8,2.5,13
2019-02-06,159,10.5,6.6,15.5
2019-02-07,159,8.3,1.5,13.4
2019-02-08,159,3.2,-1.4,9
2019-02-09,159,2.5,0.2,5.6
2019-02-10,159,4,-1.3,9.7
2019-02-11,159,2.9,0,6.8
2019-02-12,159,4,-0.5,9.4
2019-02-13,159,4.6,1.2,9
2019-02-14,159,5.2,2,11.3
2019-02-15,159,6.3,4,8.8
2019-02-16,159,3.2,0.4,7.5
2019-02-17,159,3.2,-1.7,9.5
2019-02-18,159,6.5,2.2,10.5
2019-02-19,159,7.1,5.4,10.4
2019-02-20,159,5.6,2,10.3
2019-02-21,159,6.9,1.5,12.7
2019-02-22,159,9,5.3,14.1
2019-02-23,159,9.2,6.5,15.2
2019-02-24,159,9,4.6,13.8
2019-02-25,159,10.8,6.4,16.2
2019-02-26,159,10.9,6.5,16
2019-02-27,159,10.4,8.8,13
2019-02-28,159,10.6,7.5,16.5
2019-03-01,159,10.6,7,16.1
2019-03-02,159,10.7,7.1,15.5
2019-03-03,159,11.5,9.5,15.4
2019-03-04,159,11.4,8.8,16.9
2019-03-05,159,12,7.9,16
2019-03-06,159,10.7,8.8,13.8
2019-03-07,159,9.7,7.3,14
2019-03-08,159,10.5,5.6,14.5
2019-03-09,159,11.8,7.4,15.4
2019-03-10,159,8.4,6.7,12.2
2019-03-11,159,9.8,5.8,14.5
2019-03-12,159,9.4,4.5,14.8
2019-03-13,159,5.5,0.5,11.4
2019-03-14,159,8,2.7,12.1
2019-03-15,159,8.2,3.6,13.3
2019-03-16,159,7.7,2.5,12.6
2019-03-17,159,9.9,5.4,15.4
2019-03-18,159,11.5,8.1,14.4
2019-03-19,159,13.9,9.2,19.3
2019-03-20,159,13.8,11.2,17.2
2019-03-21,159,15.6,10.6,21
2019-03-22,159,9.4,5.4,14.4
2019-03-23,159,7,3.7,13.5
2019-03-24,159,6.9,2,11.1
2019-03-25,159,8.7,4.5,11.8
2019-03-26,159,13.6,7.2,20.7
2019-03-27,159,14.8,12.3,18.7
2019-03-28,159,12.8,10.7,16.1
2019-03-29,159,13.9,10.5,17.1
2019-03-30,159,11.6,5.6,16.1
2019-03-31,159,7.7,4.4,13.5
2019-04-01,159,7.7,2.1,14.1
2019-04-02,159,9.4,4.5,15
2019-04-03,159,9.8,5.7,13.9
2019-04-04,159,12.1,6,17.4
2019-04-05,159,13.9,10.1,18
2019-04-06,159,14.4,10.4,18.4
2019-04-07,159,12.4,9.9,15.9
2019-04-08,159,13.1,9.5,18.3
2019-04-09,159,11.2,8.4,15.8
2019-04-10,159,9.7,7.9,12.9
2019-04-11,159,10.2,6.8,14.2
2019-04-12,159,11.8,7.4,16.4
2019-04-13,159,13.5,9.2,17.2
2019-04-14,159,13.3,10.6,15.6
2019-04-15,159,12.7,7.9,17.9
2019-04-16,159,16,10.3,21.2
2019-04-17,159,18,14.3,23.4
2019-04-18,159,16.4,14.2,20
2019-04-19,159,13.8,10.1,16.8
2019-04-20,159,14.4,9.7,18.2
2019-04-21,159,17.2,13.4,22
2019-04-22,159,17.1,14.1,22.2
2019-04-23,159,16.2,14.5,19.5
2019-04-24,159,16.8,15.1,20.5
2019-04-25,159,14.8,13,16.3
2019-04-26,159,11.3,8.5,13.1
2019-04-27,159,12.1,8.1,16.3
2019-04-28,159,13.2,10.7,16.9
2019-04-29,159,13,12.1,13.8
2019-04-30,159,15.6,13.1,18.9
2019-05-01,159,17,14.3,20.8
2019-05-02,159,17.6,14.8,21.7
2019-05-03,159,19.1,15.3,23.1
2019-05-04,159,19.1,15.1,23.6
2019-05-05,159,19.6,15.4,23.9
2019-05-06,159,16.6,12.8,21.3
2019-05-07,159,15.2,11,20
2019-05-08,159,17.3,12.9,21.6
2019-05-09,159,18.6,16,22.9
2019-05-10,159,19,16,23.8
2019-05-11,159,19.5,14.3,24.4
2019-05-12,159,20.2,15.9,25.8
2019-05-13,159,17.8,14.8,20.7
2019-05-14,159,20.5,17.2,24.7
2019-05-15,159,21.6,18.7,25.7
2019-05-16,159,21.7,18,26.7
2019-05-17,159,21.1,17.8,23.7
2019-05-18,159,17.7,16.5,20.4
2019-05-19,159,19.4,18,21.9
2019-05-20,159,19,14.1,23.3
2019-05-21,159,17.9,12.2,22.3
2019-05-22,159,19.7,15.8,24.6
2019-05-23,159,19.3,16.2,26.1
2019-05-24,159,20.9,16.2,25.4
2019-05-25,159,23.4,19.2,30.1
2019-05-26,159,22,18.5,25.7
2019-05-27,159,19.3,18.4,20.9
2019-05-28,159,18,15.1,22.5
2019-05-29,159,20.6,14,25.4
2019-05-30,159,22.5,17.8,26.9
2019-05-31,159,18.4,14.9,22.9
2019-06-01,159,19.8,16.2,24.8
2019-06-02,159,20.9,17.4,24.6
2019-06-03,159,21.3,17.4,25.6
2019-06-04,159,23.4,19.2,26.5
2019-06-05,159,23.9,20.4,29.7
2019-06-06,159,22.1,17.8,27
2019-06-07,159,18.7,16.8,20
2019-06-08,159,19.1,17,22.2
2019-06-09,159,18.5,16.4,22.1
2019-06-10,159,18.8,15.8,22.7
2019-06-11,159,18.5,16.1,22.1
2019-06-12,159,19.1,16.9,22.3
2019-06-13,159,19.6,15.5,23
2019-06-14,159,19.6,17.2,23.7
2019-06-15,159,20.6,17.2,25.3
2019-06-16,159,20.1,17.7,23.4
2019-06-17,159,20.8,17.6,24.6
2019-06-18,159,21.7,19.5,24.8
2019-06-19,159,23.4,19.3,27.3
2019-06-20,159,24.3,21.6,27.5
2019-06-21,159,23.3,21,26.8
2019-06-22,159,21.3,19.1,25
2019-06-23,159,20.9,18.4,24.8
2019-06-24,159,20.9,18,24.5
2019-06-25,159,21.9,18.5,26.8
2019-06-26,159,20.9,19.6,21.8
2019-06-27,159,22.4,20.7,24.4
2019-06-28,159,22.2,20.8,25.5
2019-06-29,159,21.4,20,23.7
2019-06-30,159,23.3,21.3,28.1
2019-07-01,159,23.1,21.3,27.8
2019-07-02,159,23.4,20.9,26.4
2019-07-03,159,21.9,20.4,24.1
2019-07-04,159,24.2,19.8,28.3
2019-07-05,159,23.8,20.6,26.9
2019-07-06,159,24.3,20.7,28.9
2019-07-07,159,23,20.8,26.5
2019-07-08,159,22.2,20.5,26.9
2019-07-09,159,22.2,20.2,26.1
2019-07-10,159,21.7,20.7,22.7
2019-07-11,159,23.8,21.6,27.2
2019-07-12,159,24.1,21.5,28.9
2019-07-13,159,22.3,21,23.5
2019-07-14,159,23.6,20.6,26.8
2019-07-15,159,23.6,21.8,26.6
2019-07-16,159,23.8,21,27.1
2019-07-17,159,23.8,21.2,27.8
2019-07-18,159,22.3,21.2,23
2019-07-19,159,23.1,22.7,23.7
2019-07-20,159,23.4,23,23.9
2019-07-21,159,23.6,22.2,26
2019-07-22,159,25.8,22.9,29.1
2019-07-23,159,26.6,24.9,29.9
2019-07-24,159,26,24.6,29.3
2019-07-25,159,25.6,24.9,27.7
2019-07-26,159,25.8,24.7,26.8
2019-07-27,159,25.9,24.7,26.9
2019-07-28,159,26.9,25.7,29.1
2019-07-29,159,27,25.2,30.3
2019-07-30,159,27.7,25.5,30.5
2019-07-31,159,28,26.2,30.9
2019-08-01,159,28.1,25.6,31.3
2019-08-02,159,29.4,26.7,33
2019-08-03,159,28.9,26.3,32.7
2019-08-04,159,28.8,26.4,32.2
2019-08-05,159,28.8,26.1,32.8
2019-08-06,159,25.8,23.2,29.8
2019-08-07,159,27.5,23.4,30.9
2019-08-08,159,28.7,25.9,32.5
2019-08-09,159,28.9,26.6,32.5
2019-08-10,159,28.3,26,32.3
2019-08-11,159,28,26.3,30.6
2019-08-12,159,29.3,27,31.9
2019-08-13,159,30.6,27.1,35
2019-08-14,159,29.4,26.5,33.3
2019-08-15,159,27.4,26.7,28.5
2019-08-16,159,28.2,26.3,31.6
2019-08-17,159,27.2,24.5,29.9
2019-08-18,159,27.3,25.2,29.8
2019-08-19,159,27.2,25.2,30.2
2019-08-20,159,26.8,25.1,30.3
2019-08-21,159,26.6,25,29.4
2019-08-22,159,26.1,25,27.3
2019-08-23,159,25.5,23.5,28.2
2019-08-24,159,25,21.6,28.3
2019-08-25,159,24.3,22.7,27.6
2019-08-26,159,25.2,21.8,28.8
2019-08-27,159,23.5,22.2,25.1
2019-08-28,159,24.1,22.7,26.3
2019-08-29,159,23.1,22.1,24.3
2019-08-30,159,24.6,20.3,28.9
2019-08-31,159,24.4,21,28.3
2019-09-01,159,23.7,21.4,27.7
2019-09-02,159,21.4,20.2,22.9
2019-09-03,159,23,21.9,25.8
2019-09-04,159,24.5,22,26.8
2019-09-05,159,26.5,24,29.3
2019-09-06,159,27,25.6,28.8
2019-09-07,159,26,24.1,27.3
2019-09-08,159,25.3,23.5,29.1
2019-09-09,159,27,23.9,30.5
2019-09-10,159,26.7,25.2,29.2
2019-09-11,159,25.1,23.3,29.2
2019-09-12,159,21.6,19.9,23.6
2019-09-13,159,23.2,20.5,27.4
2019-09-14,159,23.8,20.1,27.7
2019-09-15,159,24.9,21.5,29.3
2019-09-16,159,23.4,20.2,28
2019-09-17,159,22.9,19.6,28.1
2019-09-18,159,22.9,19.6,28.2
2019-09-19,159,21.6,18.7,25.6
2019-09-20,159,21.5,18,26.5
2019-09-21,159,18.2,17.2,20.6
2019-09-22,159,18.2,17.1,19.1
2019-09-23,159,17.9,16.7,20.7
2019-09-24,159,19.4,15.8,24.2
2019-09-25,159,20.4,15.8,25.4
2019-09-26,159,22.9,19.1,27.8
2019-09-27,159,22.1,20.6,26.1
2019-09-28,159,22.4,21.3,26.1
2019-09-29,159,23.9,21.3,28.8
2019-09-30,159,24.1,22.5,27.7
2019-10-01,159,22.4,21.6,23.3
2019-10-02,159,22.7,21.6,23.8
2019-10-03,159,24.6,22.3,28.8
2019-10-04,159,22.9,20.2,25.8
2019-10-05,159,21.7,18.5,26.4
2019-10-06,159,18.7,16.4,22.8
2019-10-07,159,18.3,16.4,21.2
2019-10-08,159,18.9,16,24
2019-10-09,159,17.5,12.6,23.2
2019-10-10,159,19.4,14.1,24.5
2019-10-11,159,21.1,16.7,27
2019-10-12,159,19.9,16.5,24.5
2019-10-13,159,18,15.1,23
2019-10-14,159,18.3,14.3,23
2019-10-15,159,15.6,13.4,18.9
2019-10-16,159,16.2,12.5,21.4
2019-10-17,159,17.1,14.1,21.2
2019-10-18,159,16.8,15.5,17.7
2019-10-19,159,19.1,15.8,24
2019-10-20,159,18.7,14.9,23.6
2019-10-21,159,18.6,15.2,23.7
2019-10-22,159,19,16.1,23.8
2019-10-23,159,18,16.3,20.8
2019-10-24,159,18.4,16.4,21.2
2019-10-25,159,19.6,16.8,24.9
2019-10-26,159,17.5,13.9,21.4
2019-10-27,159,14,10.4,18.7
2019-10-28,159,15.4,10.7,19.9
2019-10-29,159,16.4,13.3,21.2
2019-10-30,159,14.6,10.6,20.4
2019-10-31,159,16.2,11,22.4
2019-11-01,159,17.5,13.4,24
2019-11-02,159,17.5,14.4,22.6
2019-11-03,159,16.4,14,22.3
2019-11-04,159,14.3,12.3,19.7
2019-11-05,159,15.2,10.8,20.7
2019-11-06,159,15.8,11.7,21.3
2019-11-07,159,14.4,11.7,19.2
2019-11-08,159,13.8,10.7,19
2019-11-09,159,14.3,9,20.2
2019-11-10,159,14.3,10,18.3
2019-11-11,159,14.8,11.8,19.7
2019-11-12,159,14.2,10.9,19.1
2019-11-13,159,13.9,9.9,16.3
2019-11-14,159,7.6,4.8,14.4
2019-11-15,159,11.2,5.6,16.4
2019-11-16,159,15.1,11.1,19.8
2019-11-17,159,16.3,12.3,19.1
2019-11-18,159,13.2,6.7,19.5
2019-11-19,159,6.7,3.8,10.8
2019-11-20,159,6.2,2,12.4
2019-11-21,159,10.6,4,16.3
2019-11-22,159,14.5,10.1,20.3
2019-11-23,159,15.5,12.2,20.5
2019-11-24,159,16,13.4,18.9
2019-11-25,159,11.6,9.5,16.6
2019-11-26,159,11.4,8.8,16.7
2019-11-27,159,10.1,8.8,11.7
2019-11-28,159,9,6.3,12.9
2019-11-29,159,8.4,5,14
2019-11-30,159,11.1,6.5,15.7
2019-12-01,159,9.5,6.5,12.1
2019-12-02,159,6.6,2.6,10.5
2019-12-03,159,4.6,0.3,9.2
2019-12-04,159,7.2,4.6,11.3
2019-12-05,159,4.6,0,9.6
2019-12-06,159,0.2,-2.8,4.7
2019-12-07,159,3.6,-2.2,9.7
2019-12-08,159,6.1,2.4,12
2019-12-09,159,7.8,3.7,13.4
2019-12-10,159,11.5,6.8,16.3
2019-12-11,159,12.1,5.8,16.6
2019-12-12,159,4.9,2.2,9.3
2019-12-13,159,6.8,2.3,10.5
2019-12-14,159,8.5,6.2,12.7
2019-12-15,159,9.1,6.8,14.5
2019-12-16,159,10.8,6.3,16.4
2019-12-17,159,12.8,9.1,16.6
2019-12-18,159,10.4,8,15.7
2019-12-19,159,6.6,3.6,12.2
2019-12-20,159,5,1.2,9.4
2019-12-21,159,4.3,1.7,6.3
2019-12-22,159,6.5,4.2,10
2019-12-23,159,8.2,5,12.9
2019-12-24,159,7.7,3,14.3
2019-12-25,159,10.7,5.4,16.3
2019-12-26,159,7.8,4,12.2
2019-12-27,159,3.6,0.4,9
2019-12-28,159,4.1,-0.3,9.4
2019-12-29,159,6.5,2.6,9.5
2019-12-30,159,9.6,7.1,14
2019-12-31,159,0.1,-2.5,7.1
2020-01-01,159,1.9,-3.2,7.8
2020-01-02,159,4.1,0.5,9.6
2020-01-03,159,5.9,2.3,11.6
2020-01-04,159,5.5,2,9.7
2020-01-05,159,7.4,2.6,13.5
2020-01-06,159,7.8,5.5,9
2020-01-07,159,14.4,9,17.7
2020-01-08,159,8.8,4.9,15
2020-01-09,159,5.3,2.3,9.8
2020-01-10,159,5.9,0.9,12.3
2020-01-11,159,5.9,1.9,10.5
2020-01-12,159,4.6,2,8.8
2020-01-13,159,3.5,1,8.1
2020-01-14,159,2.1,-0.3,5.5
2020-01-15,159,2.4,-0.4,7
2020-01-16,159,3.8,-0.3,9.5
2020-01-17,159,6.4,3.2,11.8
2020-01-18,159,5.3,1.4,9.8
2020-01-19,159,4.9,2.1,9.4
2020-01-20,159,5.1,1.6,9.8
2020-01-21,159,5,0.1,10.3
2020-01-22,159,7.7,4.8,9.3
2020-01-23,159,8.8,8.1,10.1
2020-01-24,159,10.2,5.9,15.9
2020-01-25,159,9.1,8,11.6
2020-01-26,159,9.5,7.4,13.8
2020-01-27,159,6.7,4.8,10
2020-01-28,159,8.9,6,13.1
2020-01-29,159,8.5,6.6,13
2020-01-30,159,7.1,4.2,12.9
2020-01-31,159,6.3,2.3,11.2
2020-02-01,159,5.6,1.5,10.4
2020-02-02,159,7.1,3.3,11.7
2020-02-03,159,5.6,2.4,10.4
2020-02-04,159,5.2,0.3,10.1
2020-02-05,159,1.8,-2.4,5
2020-02-06,159,1.2,-5,7.1
2020-02-07,159,5,2.1,10.4
2020-02-08,159,4.1,0.4,9.4
2020-02-09,159,3.8,-0.7,8.9
2020-02-10,159,6.3,0.7,12.2
2020-02-11,159,9.7,4.4,14.5
2020-02-12,159,11.7,9.9,14.1
2020-02-13,159,11.4,8.1,16.2
2020-02-14,159,12.3,9.2,18.1
2020-02-15,159,12.8,9.7,17.3
2020-02-16,159,7,0.8,13.7
2020-02-17,159,0.1,-3,3
2020-02-18,159,1.2,-4.5,7.9
2020-02-19,159,6.1,0.1,12.5
2020-02-20,159,9.3,4.6,14.7
2020-02-21,159,11,5.5,16
2020-02-22,159,9.5,5.1,12.9
2020-02-23,159,6,1.1,11.7
2020-02-24,159,10.8,5.5,15.7
2020-02-25,159,9.7,7.9,12.7
2020-02-26,159,9.5,6.8,14.1
2020-02-27,159,6.8,4.7,10.7
2020-02-28,159,6.9,4.8,8.9
2020-02-29,159,9.5,7,13
2020-03-01,159,10.8,7.2,15.6
2020-03-02,159,8.5,5.2,14.7
2020-03-03,159,8.7,5.6,12.6
2020-03-04,159,7.9,1.7,13
2020-03-05,159,5.1,-0.3,11.5
2020-03-06,159,8.1,3.2,12.6
2020-03-07,159,8.2,6.1,11.8
2020-03-08,159,10.4,5.5,16.4
2020-03-09,159,11,7.4,15.2
2020-03-10,159,9.9,7.3,12.1
2020-03-11,159,7.8,3.6,13.5
2020-03-12,159,9.5,3.6,14.5
2020-03-13,159,11.6,8.5,17
2020-03-14,159,8.2,4.7,12
2020-03-15,159,7.7,2.9,12.7
2020-03-16,159,6.6,1.1,11.8
2020-03-17,159,11.1,6,15.9
2020-03-18,159,12.2,7.7,17.3
2020-03-19,159,12.6,7.4,18.2
2020-03-20,159,10.4,6.4,14.8
2020-03-21,159,13.7,9.8,17.9
2020-03-22,159,14.1,11,17.5
2020-03-23,159,12.6,8.8,17.1
2020-03-24,159,11.5,8.6,15.3
2020-03-25,159,13,7.6,17.9
2020-03-26,159,14.5,12.1,16.3
2020-03-27,159,13.7,9.7,16.8
2020-03-28,159,9.4,7.7,13
2020-03-29,159,10.4,6.4,15.1
2020-03-30,159,11.6,8.6,15.7
2020-03-31,159,12.9,8.5,18
2020-04-01,159,12.5,10.8,17.1
2020-04-02,159,11.5,7.2,16.2
2020-04-03,159,13.8,9.6,19.1
2020-04-04,159,12.8,8.5,19.6
2020-04-05,159,9.7,5.6,14.1
2020-04-06,159,11.7,7.3,15.1
2020-04-07,159,14.5,9.5,20.6
2020-04-08,159,13.3,9.2,19.1
2020-04-09,159,11.8,8,18
2020-04-10,159,10,8.3,12.2
2020-04-11,159,10.5,7.9,14.2
2020-04-12,159,9,7.2,11.9
2020-04-13,159,10.1,6.8,15.5
2020-04-14,159,15.1,8.8,21.1

